Timestep,Road_number,Vehicle_density,Vehicles_Exiting
190,5,1.24,0
190,6,1.26,0
190,7,1.16,0
191,1,0.82,1
191,2,0.8,1
191,3,0.82,2
191,4,10.6,0
191,5,1.26,0
191,6,1.26,0
191,7,1.18,0
192,1,0.82,1
192,2,0.8,2
192,3,0.82,1
192,4,11.4,2
192,5,1.26,0
192,6,1.26,0
192,7,1.18,0
193,1,0.82,2
193,2,0.8,1
193,3,0.82,1
193,4,10.8,0
193,5,1.26,0
193,6,1.28,0
193,7,1.2,0
194,1,0.84,2
194,2,0.8,1
194,3,0.82,0
194,4,11.6,1
194,5,1.26,0
194,6,1.28,0
194,7,1.2,0
195,1,0.84,1
195,2,0.8,0
195,3,0.82,2
195,4,12.0,2
195,5,1.26,0
195,6,1.28,0
195,7,1.22,0
196,1,0.84,1
196,2,0.8,2
196,3,0.84,0
196,4,12.0,1
196,5,1.26,0
196,6,1.3,0
196,7,1.24,0
197,1,0.84,0
197,2,0.8,1
197,3,0.84,4
197,4,11.4,1
197,5,1.28,0
197,6,1.3,0
197,7,1.24,0
198,1,0.84,0
198,2,0.8,1
198,3,0.84,0
